PERIODE;NO_UA;REGION;SEPM;THO;PRU;PIN;PEU;BOP;BOJ;ERS;AUF;TOTAL;LIEN_WEB;HYPERLIEN;UA_TXT
2018-2023;08764;08;262400;100;0;0;31500;17200;0;0;0;311200;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/nord-du-quebec-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/08764_fiche-_determination_18_v3.pdf;087-64
2018-2023;09351;09;1097300;0;0;0;55100;58900;0;8300;4300;1223900;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/cote-nord-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/09351_fiche_determination_18_v3.pdf;093-51
2018-2023;09352;09;316500;0;0;0;3500;23700;0;0;0;343700;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/cote-nord-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/09352_fiche_determination_mars_2018.pdf;093-52
2018-2023;09471;09;1092900;0;0;0;3800;23000;0;0;0;1119700;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/cote-nord-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/09471_fiche_determination_mars_2018.pdf;094-71
2018-2023;09551;09;112300;0;0;0;200;1400;0;0;0;113900;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/cote-nord-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/09551_fiche_determination_mars_2018.pdf;095-51
2018-2023;09751;09;795600;4500;0;2400;95100;79800;14900;12400;800;1005500;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/cote-nord-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/09751_fiche_determination_18_v3.pdf;097-51
2018-2023;11161;11;609100;6800;0;0;79800;92300;18200;22300;500;829000;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/gaspesie-iles-de-la-madeleine-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/11161_fiche_determination_18_v3.pdf;111-61
2018-2023;11262;11;361800;8400;0;0;91600;83700;11200;20900;100;577700;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/gaspesie-iles-de-la-madeleine-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/11262_fiche_determination_18_v3.pdf;112-62
2018-2023;11263;11;415600;11800;0;0;44700;70700;3900;6300;100;553100;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/gaspesie-iles-de-la-madeleine-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/11263_fiche_determination_18_v3-1.pdf;112-63
2023-2028;01171;01;189300;14400;0;800;76500;29400;24200;58600;3900;397100;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/bas-saint-laurent-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00252-01171-determination-4.0.0.pdf;011-71
2023-2028;01272;01;748400;25700;0;1300;42600;109600;37600;43200;300;1008700;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/bas-saint-laurent-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00253-01272-determination-4.0.0.pdf;012-72
2023-2028;02371;02;1097200;200;0;700;111700;181300;28700;6500;600;1426900;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/saguenay-lac-saint-jean-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00378-02371-Determination-4.4.0.pdf;023-71
2023-2028;02471;02;1525000;0;0;500;60800;142300;500;3100;300;1732500;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/saguenay-lac-saint-jean-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00255-02471-Determination-4.4.0.pdf;024-71
2023-2028;02571;02;2320500;100;0;100;348100;325700;7600;5100;100;3007300;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/saguenay-lac-saint-jean-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00256-02571-determination-4.0.0.pdf;025-71
2023-2028;02651;02;154200;0;0;0;4600;21900;0;0;0;180700;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/mauricie-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00257-02651-Determination-MAJ-feu-A2024-4.8.1.pdf;026-51
2023-2028;02661;02;143600;0;0;0;1500;3900;0;0;0;149000;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00258-02661-determination-4.0.0.pdf;026-61
2023-2028;02662;02;99300;0;0;0;1500;4000;0;0;0;104800;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00259-02662-determination-4.0.0.pdf;026-62
2023-2028;02663;02;99100;0;0;0;1500;7400;0;0;0;108000;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00260-02663-Determination-MAJ-feu-A2024-4.8.1.pdf;026-63
2023-2028;02664;02;294900;0;0;0;6900;28300;0;0;0;330100;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00261-02664-Determination-MAJ-feu-A2024-4.8.1.pdf;026-64
2023-2028;02665;02;261100;0;0;0;8800;16000;0;0;0;285900;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00262-02665-determination-4.0.0.pdf;026-65
2023-2028;02666;02;130000;0;0;0;2700;9400;0;0;0;142100;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00263-02666-Determination-MAJ-feu-A2024-4.8.1.pdf;026-66
2023-2028;02751;02;891500;100;0;400;76500;129600;200;3600;400;1102300;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/saguenay-lac-saint-jean-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00264-02751-determination-4.0.0.pdf;027-51
2023-2028;03771;03;220800;2600;100;1400;9600;56800;41000;20600;1600;354500;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/capitale-nationale-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00265-03771-determination-4.0.0.pdf;037-71
2023-2028;03772;03;191600;600;0;1100;56300;48500;6300;5500;200;310100;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/capitale-nationale-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00266-03772-determination-4.0.0.pdf;037-72
2023-2028;04151;04;481200;34000;1700;19900;57900;114100;55600;87100;13200;864700;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/mauricie-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00267-04151-determination-4.0.0.pdf;041-51
2023-2028;04251;04;757300;8100;0;7200;124400;171600;79800;45900;1300;1195600;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/mauricie-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00268-04251-determination-4.0.0.pdf;042-51
2023-2028;04351;04;820700;0;0;100;129100;219200;300;4200;0;1173600;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/mauricie-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00269-04351-determination-4.0.0.pdf;043-51
2023-2028;04352;04;706900;7700;0;20400;160400;257200;43800;32700;1500;1230600;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/mauricie-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00270-04352-determination-4.0.1.pdf;043-52
2023-2028;05151;05;24500;900;0;300;3700;4300;6300;15300;600;55900;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/estrie-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00271-05151-determination-4.0.1-002.pdf;051-51
2023-2028;06151;06;10100;1300;2800;1200;7800;3300;10800;34800;11300;83400;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/laurentides-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00272-06151-determination-4.0.0.pdf;061-51
2023-2028;06271;06;334900;22400;200;10700;85800;149300;83700;65400;6300;758700;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/lanaudiere-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00273-06271-Determination-4.4.1.pdf;062-71
2023-2028;06452;06;22300;5800;11300;3400;17200;6800;21300;59600;27100;174800;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/laurentides-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00274-06452-Determination-4.4.0.pdf;064-52
2023-2028;06471;06;663000;37100;3900;14900;92600;347700;181100;184700;36700;1561700;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/laurentides-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00275-06471-determination-4.0.1.pdf;061-71
2023-2028;07151;07;57300;5200;2800;30900;75200;17100;24300;62000;44600;319400;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/outaouais-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00276-07151-Determination-MAJ-AP-4.4.1.pdf;071-51
2023-2028;07152;07;254000;22000;7800;52400;124100;125000;85700;133600;44900;849500;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/outaouais-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00277-07152-Determination-MAJ-AP-4.4.1.pdf;071-52
2023-2028;07251;07;16000;1500;1400;3800;14100;3600;14000;57900;27700;140000;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/outaouais-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00278-07251-determination-4.0.0.pdf;072-51
2023-2028;07351;07;124100;8900;3600;22400;109100;84900;39100;123700;64000;579800;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/outaouais-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00279-07351-determination-4.0.0.pdf;073-51
2023-2028;07352;07;274900;10200;100;12600;29100;111500;54500;41600;2000;536500;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/outaouais-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00280-07352-Determination-4.4.0.pdf;073-52
2023-2028;07451;07;679500;16600;100;21600;247000;374700;76800;87600;4200;1508100;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/outaouais-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00281-07451-determination-4.0.1.pdf;074-51
2023-2028;08151;08;83100;37800;21600;45000;30900;34800;59700;68200;21100;402200;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/abitibi-temiscamingue-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00282-08151-determination-4.0.0.pdf;081-51
2023-2028;08152;08;213300;40100;6700;67000;74300;157800;47300;50700;3900;661100;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/abitibi-temiscamingue-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00283-08152-determination-4.0.0.pdf;081-52
2023-2028;08251;08;407500;13200;0;6300;121500;95300;4100;9100;1200;658200;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/abitibi-temiscamingue-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00284-08251-determination-4.0.0.pdf;082-51
2023-2028;08351;08;600200;31000;0;18000;103400;208300;17000;16500;200;994600;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/abitibi-temiscamingue-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00285-08351-determination-4.0.0.pdf;083-51
2023-2028;08451;08;548500;1300;0;700;86600;62700;200;2600;0;702600;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/abitibi-temiscamingue-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00286-08451-Determination-MAJ-feu-A2024-4.8.1.pdf;084-51
2023-2028;08462;08;155700;0;0;0;14000;22400;0;1000;0;193100;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/abitibi-temiscamingue-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00287-08462-Determination-MAJ-feu-A2024-4.8.0.pdf;084-62
2023-2028;08551;08;462600;0;0;0;127400;12900;0;100;0;603000;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00288-08551-Determination-4.4.0.pdf;085-51
2023-2028;08562;08;4000;0;0;0;700;100;0;0;0;4800;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00289-08562-determination-4.0.0.pdf;085-62
2023-2028;08651;08;356600;300;0;500;100400;29400;0;600;0;487800;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/abitibi-temiscamingue-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00290-08651-Determination-MAJ-feu-A2024-4.8.0.pdf;086-51
2023-2028;08652;08;237200;0;0;0;91500;5600;0;0;0;334300;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00291-08652-determination-4.0.0.pdf;086-52
2023-2028;08663;08;13400;0;0;0;100;100;0;0;0;13600;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00292-08663-determination-4.0.0.pdf;086-63
2023-2028;08664;08;128700;0;0;0;23600;1200;0;0;0;153500;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00293-08664-determination-4.0.0.pdf;086-64
2023-2028;08665;08;209100;0;0;0;38600;7400;0;0;0;255100;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00294-08665-determination-4.0.0.pdf;086-65
2023-2028;08666;08;130200;0;0;0;8900;5100;0;0;0;144200;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00295-08666-Determination-MAJ-feu-A2024-4.8.0.pdf;086-66
2023-2028;08751;08;332700;0;0;0;52100;23600;0;100;0;408500;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00296-08751-Determination-MAJ-feu-A2024-4.8.1.pdf;087-51
2023-2028;08762;08;115900;0;0;0;7300;7600;0;0;0;130800;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00297-08762-Determination-MAJ-feu-A2024-4.8.0.pdf;087-62
2023-2028;08763;08;192200;0;0;0;37600;7300;0;0;0;237100;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00298-08763-Determination-MAJ-feu-A2024-4.8.0.pdf;087-63
2023-2028;08764;08;183500;0;0;0;11300;8300;0;0;0;203100;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/nord-du-quebec-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/FIC-00299-08764-Determination-MAJ-feu-A2024-4.8.0.pdf;087-64
2023-2028;09351;09;1022700;0;0;0;15500;97900;0;500;0;1136600;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/cote-nord-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00300_09351_determination_4.0.0.pdf;093-51
2023-2028;09352;09;234700;0;0;0;1700;12000;0;100;0;248500;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/cote-nord-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00301_09352_determination_4.0.0.pdf;093-52
2023-2028;09471;09;1076900;0;0;0;22100;66600;0;100;0;1165700;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/cote-nord-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00302_09471_determination_4.0.0.pdf;094-71
2023-2028;09551;09;92700;0;0;0;200;1200;0;0;0;94100;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/cote-nord-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00304_09751_determination_4.0.0.pdf;095-51
2023-2028;09751;09;736500;500;0;400;155400;146200;3200;5900;500;1048600;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/cote-nord-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00303_09551_determination_4.0.0.pdf;097-51
2023-2028;11161;11;608800;6800;0;0;79800;92500;18100;22300;500;828800;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/gaspesie-iles-de-la-madeleine-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00305-11161-determination-4.0.0.pdf;111-61
2023-2028;11262;11;361100;8400;0;0;91200;83600;11100;20600;100;576100;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/gaspesie-iles-de-la-madeleine-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00306-11262-determination-4.0.0.pdf;111-62
2023-2028;11263;11;405400;11500;0;0;44000;69300;3700;6100;100;540100;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/gaspesie-iles-de-la-madeleine-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00307-11263-determination-4.0.0.pdf;111-63
2023-2028;12171;12;143000;7800;1600;400;15800;17300;9300;20700;900;216800;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2023-2028/regions-forestieres-2023-2028/chaudiere-appalaches-2023-2028/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/fic-00349-121-71-determination-4.0.0.pdf;121-71
